Time,CasingPressure,FlowRate,LinePressure,StaticPressure,TubingPressure,Qmin
1443079119,507.464,1144.86,300.987,270.131,223.525,104.86
1443079297,507.647,1237.351,300.53,270.059,223.708,105.351
1443079481,507.922,1212.341,300.073,270.99,224.716,105.341
1443079660,508.105,1154.792,299.433,271.384,225.449,105.792
1443079840,508.197,1217.981,299.068,271.68,226.457,104.981
1443080019,508.471,1200.782,298.246,272.285,227.19,105.782
1443080199,508.655,1190.831,297.789,271.825,227.464,105.831
1443080378,508.929,1148.645,297.241,271.924,229.022,105.645
1443080561,509.021,1189.623,296.692,272.181,229.48,105.623
1443080741,509.204,1146.126,296.51,271.282,230.579,105.126
1443080921,509.479,1203.726,296.053,270.677,231.22,105.726
1443081099,509.662,1214.019,295.687,269.451,231.953,105.019
1443081278,509.937,1178.776,295.23,269.162,232.961,105.776
1443081457,510.212,1151.651,294.591,268.184,233.51,105.651
1443081642,510.395,1215.038,294.499,267.809,233.969,105.038
1443081822,510.486,1186.209,294.317,266.875,234.427,105.209
1443082000,510.67,1170.331,293.768,266.403,235.251,105.331
1443082180,510.578,1116.066,293.677,266.052,235.709,105.066
1443082359,510.67,1092.378,293.22,265.543,236.534,105.378
1443082539,510.944,1127.209,293.403,264.245,236.992,105.209
1443082717,511.219,1128.784,293.037,263.479,237.999,105.784
1443082902,511.31,1117.101,293.22,263.389,238.824,105.101
1443083082,511.219,1145.77,292.763,263.371,240.015,105.77
1443083260,511.677,1080.802,293.403,262.879,240.748,105.802
1443083439,511.952,1196.116,292.946,262.595,241.206,105.116
1443083619,512.226,1064.193,292.58,261.881,241.938,105.193
1443083798,511.952,1177.63,292.489,261.608,242.763,105.63
1443083976,512.043,1177.675,291.758,261.216,243.679,105.675
1443084161,512.226,1115.583,292.032,261.184,244.687,105.583
1443084355,512.501,1069.179,291.758,260.883,245.603,105.179
1443084520,512.684,1060.834,291.667,259.904,246.427,105.834
1443084698,512.867,1099.932,290.57,260.231,246.977,104.932
1443084878,512.959,1163.952,290.936,259.626,247.985,104.952
1443085057,513.234,1128.678,290.662,259.396,249.084,105.678
1443085241,513.509,1072.558,290.57,259.397,249.725,105.558
1443085420,513.783,1077.592,290.662,259.394,250.733,105.592
1443085600,513.967,1105.583,290.022,258.883,252.199,105.583
1443085779,514.15,1157.761,290.205,258.512,253.206,105.761
1443085958,514.241,1133.168,289.748,258.686,254.031,105.168
1443086137,514.516,1063.911,289.565,258.551,255.039,104.911
1443086316,514.791,1115.699,289.017,258.679,256.229,105.699
